name,opposition,evaluation
Bakko,Croak,-2
Bakko,Freya,-1
Bakko,Jamila,0
Bakko,Raigon,1
Bakko,Rook,1
Bakko,Ruh Kaan,0
Bakko,Shifu,1
Bakko,Thorn,0
Bakko,Alysia,-1
Bakko,Ashka,-1
Bakko,Destiny,-1
Bakko,Ezmo,-1
Bakko,Iva,0
Bakko,Jade,0
Bakko,Jumong,-1
Bakko,Shen Rao,1
Bakko,Taya,-1
Bakko,Varesh,0
Bakko,Blossom,1
Bakko,Lucie,0
Bakko,Oldur,-1
Bakko,Pearl,1
Bakko,Pestilus,-2
Bakko,Poloma,-1
Bakko,Sirius,1
Bakko,Ulric,1
Bakko,Zander,-2
Croak,Freya,1
Croak,Jamila,0
Croak,Raigon,0
Croak,Rook,-2
Croak,Ruh Kaan,1
Croak,Shifu,0
Croak,Thorn,0
Croak,Alysia,1
Croak,Ashka,2
Croak,Destiny,-1
Croak,Ezmo,-1
Croak,Iva,-1
Croak,Jade,-1
Croak,Jumong,0
Croak,Shen Rao,1
Croak,Taya,1
Croak,Varesh,2
Croak,Blossom,-1
Croak,Lucie,-1
Croak,Oldur,2
Croak,Pearl,-1
Croak,Pestilus,2
Croak,Poloma,-1
Croak,Sirius,0
Croak,Ulric,-2
Croak,Zander,0
Freya,Jamila,-1
Freya,Raigon,2
Freya,Rook,1
Freya,Ruh Kaan,1
Freya,Shifu,2
Freya,Thorn,1
Freya,Alysia,0
Freya,Ashka,-1
Freya,Destiny,-1
Freya,Ezmo,0
Freya,Iva,-2
Freya,Jade,-1
Freya,Jumong,-1
Freya,Shen Rao,1
Freya,Taya,1
Freya,Varesh,-2
Freya,Blossom,0
Freya,Lucie,-1
Freya,Oldur,1
Freya,Pearl,1
Freya,Pestilus,-1
Freya,Poloma,0
Freya,Sirius,0
Freya,Ulric,2
Freya,Zander,0
Jamila,Raigon,0
Jamila,Rook,1
Jamila,Ruh Kaan,0
Jamila,Shifu,0
Jamila,Thorn,1
Jamila,Alysia,1
Jamila,Ashka,1
Jamila,Destiny,-1
Jamila,Ezmo,0
Jamila,Iva,0
Jamila,Jade,0
Jamila,Jumong,2
Jamila,Shen Rao,0
Jamila,Taya,1
Jamila,Varesh,1
Jamila,Blossom,1
