name,opposition,evaluation
Bakko,Croak,2
Bakko,Freya,2
Bakko,Jamila,3
Bakko,Raigon,4
Bakko,Rook,4
Bakko,Ruh Kaan,3
Bakko,Shifu,4
Bakko,Thorn,3
Bakko,Alysia,2
Bakko,Ashka,2
Bakko,Destiny,2
Bakko,Ezmo,2
Bakko,Iva,3
Bakko,Jade,3
Bakko,Jumong,1
Bakko,Shen Rao,4
Bakko,Taya,2
Bakko,Varesh,3
Bakko,Blossom,4
Bakko,Lucie,3
Bakko,Oldur,2
Bakko,Pearl,3
Bakko,Pestilus,1
Bakko,Poloma,2
Bakko,Sirius,4
Bakko,Ulric,4
Bakko,Zander,1
Croak,Freya,4
Croak,Jamila,3
Croak,Raigon,3
Croak,Rook,1
Croak,Ruh Kaan,4
Croak,Shifu,3
Croak,Thorn,3
Croak,Alysia,4
Croak,Ashka,5
Croak,Destiny,2
Croak,Ezmo,2
Croak,Iva,3
Croak,Jade,2
Croak,Jumong,5
Croak,Shen Rao,4
Croak,Taya,4
Croak,Varesh,5
Croak,Blossom,1
Croak,Lucie,2
Croak,Oldur,5
Croak,Pearl,2
Croak,Pestilus,5
Croak,Poloma,3
Croak,Sirius,3
Croak,Ulric,1
Croak,Zander,3
Freya,Jamila,4
Freya,Raigon,5
Freya,Rook,4
Freya,Ruh Kaan,4
Freya,Shifu,5
Freya,Thorn,4
Freya,Alysia,3
Freya,Ashka,3
Freya,Destiny,2
Freya,Ezmo,3
Freya,Iva,1
Freya,Jade,2
Freya,Jumong,2
Freya,Shen Rao,4
Freya,Taya,4
Freya,Varesh,1
Freya,Blossom,3
Freya,Lucie,2
Freya,Oldur,4
Freya,Pearl,4
Freya,Pestilus,2
Freya,Poloma,3
Freya,Sirius,3
Freya,Ulric,5
Freya,Zander,3
Jamila,Raigon,3
Jamila,Rook,4
Jamila,Ruh Kaan,3
Jamila,Shifu,3
Jamila,Thorn,4
Jamila,Alysia,4
Jamila,Ashka,4
Jamila,Destiny,2
Jamila,Ezmo,3
Jamila,Iva,3
Jamila,Jade,3
Jamila,Jumong,5
Jamila,Shen Rao,3
Jamila,Taya,4
Jamila,Varesh,4
Jamila,Blossom,4
Jamila,Lucie,5
Jamila,Oldur,4
Jamila,Pearl,2
Jamila,Pestilus,5
Jamila,Poloma,3
Jamila,Sirius,3
Jamila,Ulric,3
Jamila,Zander,5
Raigon,Rook,4
Raigon,Ruh Kaan,3
Raigon,Shifu,2
Raigon,Thorn,4
Raigon,Alysia,3
Raigon,Ashka,3
Raigon,Destiny,1
Raigon,Ezmo,2
Raigon,Iva,3
Raigon,Jade,3
Raigon,Jumong,4
Raigon,Shen Rao,3
Raigon,Taya,3
Raigon,Varesh,2
Raigon,Blossom,5
